uniid;uniunidade;unilotacao;unisigla;unittucodigo;uniunidaderesponsavel;unidenominacao;uniendereco;unimunicipio;unicep;unitelefone;uniemail;unilocal;unilatitude;unilongitude;unihelicoptero;unitexto
1;090000;0520     ;9ªSR/RS        ;4;111;9ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Av. A. J. Renner, 2701 - Parque Humaitá;88013;90250000;(51) 3375-9700;sup.rs@dprf.gov.br;6158;S 29G 58M ;W 51G 10M ;S;Há uma área disponível para pouso de aeronaves.
2;091400;0565     ;9ªSR/RS        ;1;1;DEL.14 - Delegacia de Sarandi;Rodovia BR 386, Km 135;89036;99560000;(54) 361-2100;del14.rs@dprf.gov.br;6620;-27.968028;-52.907778;N;Não há uma área apropriada para pouso de helicóptero. 
3;090100;0539     ;9ªSR/RS        ;1;1;DEL.01 - Delegacia de Porto Alegre;Rodovia BR-116, KM 243,5;88773;93125340;(51) 568.2837;del01.rs@dprf.gov.br;6160;-29.736583;-51.150361;N;Antiga quadra de esporte próxima a delegacia precisar de manunteção para pouso de aeronave.
4;090300;0543     ;9ªSR/RS        ;1;1;DEL.03 - Delegacia de Osório;Rodovia BR-101, km 94,3;87734;95520000;(51) 663-1035;del03.rs@dprf.gov.br;6162;-29.857528;-50.248083;N;Há uma área para pouso de aeronaves 
5;090200;0541     ;9ªSR/RS        ;1;1;DEL.02 - Delegacia de Eldorado do Sul;BR-290, Km 111;84239;92990000;(51) 3481 3286;del02.rs@dprf.gov.br;6163;-30.036361;-51.327972;N;Não tem uma área apropriada para pouso de aeronave é utilizada uma área com escanpado aberto do lado da delegacia.
6;090400;0545     ;9ªSR/RS        ;1;1;DEL.04 - Delegacia de Lajeado;Rodovia BR 386, Km 340;87297;95900000;(51) 3748-9605;del04.rs@dprf.gov.br;6162;-29.432222;-52.011611;N;Há uma área de pouso de aeronave mais sem sinalização
436;170501;0907     ;17ªSR/PI       ;5;425;DEL.05/PST.01 - Posto de Parnaíba;BR- 343, km 33;11533;        ;(86) 3322-6510;del05.pi@dprf.gov.br;150400;-3.0981560;-41.780153;N;Na pista central da Rodovia em frente ao posto
7;090500;0547     ;9ªSR/RS        ;1;1;DEL.05 - Delegacia de Caxias do Sul;BR-116, Km 147 - Bairro de Lazzer;85995;95059520;(54) 3229-1370;del05.rs@dprf.gov.br;27058;-29.150028;-51.145056;N;Não tem área apropriada para pouso de aeronave.
8;090600;0549     ;9ªSR/RS        ;1;1;DEL.06 - Delegacia de Vacaria;BR-116, Km 036;89532;95200000;(54) 232-2864;del06.rs@dprf.gov.br;6166;-28.492611;-50.911056;N;Há uma área para pouso de aeronaves em frente a delegacia precisando de uma nova sinalização.
9;090700;0551     ;9ªSR/RS        ;1;1;DEL.07 - Delegacia de Pelotas;Rodovia BR-116, km 516,1;87912;96070560;(53) 3273-7000/7578;del07.rs@dprf.gov.br;60212;S 31G 40M ;W 52G 20M ;N;Há uma área em frente da delegacia mais não sinalizada.
10;090800;0553     ;9ªSR/RS        ;1;1;DEL.08 - Delegacia de Passo Fundo;BR-285, Km 291;87858;99042800;(54) 311-8131;del08.rs@dprf.gov.br;6168;-28.235972;-52.377944;N;Há um carteiro central para pouso de aeronova sem sinalização
11;090900;0555     ;9ªSR/RS        ;1;1;DEL.09 - Delegacia de Santa Maria;Avenida Ângelo Bolson, 1188;88412;97070000;(55) 3211-3318;del09.rs@dprf.gov.br;6443;-29.678722;-53.778139;N;Não tem uma área apropriada para pouso de aeronave, pois exister muita vegetação no local.
12;091000;0557     ;9ªSR/RS        ;1;1;DEL.10 - Delegacia de Ijuí;BR-285, Km 462;87050;98700000;(55) 3333-1705;del10.rs@dprf.gov.br;6170;-28.416111;-53.924722;N;É utilizado próximo a delegacia um campo de futebol para pouso de helicóptero sem sinalização.
437;170401;0905     ;17ªSR/PI       ;5;424;DEL.04/PST.01 - Posto de Picos;BR-316, Km 292;11592;64600000;(89) 3421-9090;del04.pi@dprf.gov.br;112506;-7.0046640;-41.593325;N;Na pista central da Rodovia em frente ao posto
13;091100;0559     ;9ªSR/RS        ;1;1;DEL.11 - Delegacia de Santana do Livramento;BR-158, Km 560;88455;97570000;(55) 243-2156;del11.rs@dprf.gov.br;6199;-30.848972;-55.479889;N;Há uma área sinalizada para pouso de helicóptero.
